id;region;year;type;conversion_factor_sec_kerosene;conversion_factor_sec_hydrogen;conversion_factor_sec_elec;conversion_factor_exo_air_natio_pkm;conversion_factor_exo_air_europ_pkm;conversion_factor_exo_air_inter_pkm;capacity_tra_inst_0;optional_limitations;cost_fix_tra;cost_inv_tra;cost_var_tra;lifetime;market_share_range;mileage;occupancy_rate;wacc;ef_sec_kerosene_emi_co2_f_tra;ef_sec_kerosene_emi_ch4_f_tra;ef_sec_kerosene_emi_n2o_f_tra;bandwidth_type;version;method;source;comment
23;DE;2027;tra_air_ice_pass_natio_hydrogen_0;;1;;1.060853191;;;0;;1,270.00;;8,694.33;25;;0.002;180;global_scalars.wacc;;;;;srd_range_draft;{};{ 'cost_fix_tra': '8DLR2020', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
24;DE;2030;tra_air_ice_pass_natio_hydrogen_0;;1;;1.060853191;;;0;;1,270.00;;8,694.33;25;;0.002;180;global_scalars.wacc;;;;;srd_range_draft;{};{ 'cost_fix_tra': '8DLR2020', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
25;DE;2035;tra_air_ice_pass_natio_hydrogen_0;;1;;1.060853191;;;0;;1,270.00;;8,694.33;25;;0.002;180;global_scalars.wacc;;;;;srd_range_draft;{};{ 'cost_fix_tra': '8DLR2020', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
26;DE;2040;tra_air_ice_pass_natio_hydrogen_0;;1;;1.060853191;;;0;;1,270.00;;8,694.33;25;;0.002;180;global_scalars.wacc;;;;;srd_range_draft;{};{ 'cost_fix_tra': '8DLR2020', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
27;DE;2045;tra_air_ice_pass_natio_hydrogen_0;;1;;1.060853191;;;0;;1,270.00;;8,694.33;25;;0.002;180;global_scalars.wacc;;;;;srd_range_draft;{};{ 'cost_fix_tra': '8DLR2020', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
28;DE;2050;tra_air_ice_pass_natio_hydrogen_0;;1;;1.060853191;;;0;;1,270.00;;8,694.33;25;;0.002;180;global_scalars.wacc;;;;;srd_range_draft;{};{ 'cost_fix_tra': '8DLR2020', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
29;DE;2060;tra_air_ice_pass_natio_hydrogen_0;;1;;1.060853191;;;0;;1,270.00;;8,694.33;25;;0.002;180;global_scalars.wacc;;;;;srd_range_draft;{};{ 'cost_fix_tra': '8DLR2020', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
30;DE;2070;tra_air_ice_pass_natio_hydrogen_0;;1;;1.060853191;;;0;;1,270.00;;8,694.33;25;;0.002;180;global_scalars.wacc;;;;;srd_range_draft;{};{ 'cost_fix_tra': '8DLR2020', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
31;DE;2021;tra_air_hyb_pass_natio_kerosene_0;0.4;;0.6;0.725358369;;;0;;1,270.00;;8,694.33;25;;0.002;180;global_scalars.wacc;global_emmission_factors.kerosene;0.0025;0.0025;;srd_range_draft;{};{ 'cost_fix_tra': '8DLR2020', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
32;DE;2024;tra_air_hyb_pass_natio_kerosene_0;0.4;;0.6;0.725358369;;;0;;1,270.00;;8,694.33;25;;0.002;180;global_scalars.wacc;global_emmission_factors.kerosene;0.0025;0.0025;;srd_range_draft;{};{ 'cost_fix_tra': '8DLR2020', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
33;DE;2027;tra_air_hyb_pass_natio_kerosene_0;0.4;;0.6;0.725358369;;;0;;1,270.00;;8,694.33;25;;0.002;180;global_scalars.wacc;global_emmission_factors.kerosene;0.0025;0.0025;;srd_range_draft;{};{ 'cost_fix_tra': '8DLR2020', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
34;DE;2030;tra_air_hyb_pass_natio_kerosene_0;0.4;;0.6;0.725358369;;;0;;1,270.00;;8,694.33;25;;0.002;180;global_scalars.wacc;global_emmission_factors.kerosene;0.0025;0.0025;;srd_range_draft;{};{ 'cost_fix_tra': '8DLR2020', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
35;DE;2035;tra_air_hyb_pass_natio_kerosene_0;0.4;;0.6;0.725358369;;;0;;1,270.00;;8,694.33;25;;0.002;180;global_scalars.wacc;global_emmission_factors.kerosene;0.0025;0.0025;;srd_range_draft;{};{ 'cost_fix_tra': '8DLR2020', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
36;DE;2040;tra_air_hyb_pass_natio_kerosene_0;0.4;;0.6;0.725358369;;;0;;1,270.00;;8,694.33;25;;0.002;180;global_scalars.wacc;global_emmission_factors.kerosene;0.0025;0.0025;;srd_range_draft;{};{ 'cost_fix_tra': '8DLR2020', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
37;DE;2045;tra_air_hyb_pass_natio_kerosene_0;0.4;;0.6;0.725358369;;;0;;1,270.00;;8,694.33;25;;0.002;180;global_scalars.wacc;global_emmission_factors.kerosene;0.0025;0.0025;;srd_range_draft;{};{ 'cost_fix_tra': '8DLR2020', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
38;DE;2050;tra_air_hyb_pass_natio_kerosene_0;0.4;;0.6;0.725358369;;;0;;1,270.00;;8,694.33;25;;0.002;180;global_scalars.wacc;global_emmission_factors.kerosene;0.0025;0.0025;;srd_range_draft;{};{ 'cost_fix_tra': '8DLR2020', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
39;DE;2060;tra_air_hyb_pass_natio_kerosene_0;0.4;;0.6;0.725358369;;;0;;1,270.00;;8,694.33;25;;0.002;180;global_scalars.wacc;global_emmission_factors.kerosene;0.0025;0.0025;;srd_range_draft;{};{ 'cost_fix_tra': '8DLR2020', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
40;DE;2070;tra_air_hyb_pass_natio_kerosene_0;0.4;;0.6;0.725358369;;;0;;1,270.00;;8,694.33;25;;0.002;180;global_scalars.wacc;global_emmission_factors.kerosene;0.0025;0.0025;;srd_range_draft;{};{ 'cost_fix_tra': '8DLR2020', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
41;DE;2021;tra_air_ice_pass_europ_kerosene_0;1;;;;0.389863548;;0.325;;1,000.00;;6,845.93;25;;0.002;180;global_scalars.wacc;global_emmission_factors.kerosene;0.0025;0.0025;;srd_range_draft;{};{'capacity_tra_inst_0': '8Lufthansa2023', 'cost_fix_tra': '8Kullick2023', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
42;DE;2024;tra_air_ice_pass_europ_kerosene_0;1;;;;0.389863548;;0.325;;1,000.00;;6,845.93;25;;0.002;180;global_scalars.wacc;global_emmission_factors.kerosene;0.0025;0.0025;;srd_range_draft;{};{'capacity_tra_inst_0': '8Lufthansa2023', 'cost_fix_tra': '8Kullick2023', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
43;DE;2027;tra_air_ice_pass_europ_kerosene_0;1;;;;0.389863548;;0.325;;1,000.00;;6,845.93;25;;0.002;180;global_scalars.wacc;global_emmission_factors.kerosene;0.0025;0.0025;;srd_range_draft;{};{'capacity_tra_inst_0': '8Lufthansa2023', 'cost_fix_tra': '8Kullick2023', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
44;DE;2030;tra_air_ice_pass_europ_kerosene_0;1;;;;0.389863548;;0.325;;1,000.00;;6,845.93;25;;0.002;180;global_scalars.wacc;global_emmission_factors.kerosene;0.0025;0.0025;;srd_range_draft;{};{'capacity_tra_inst_0': '8Lufthansa2023', 'cost_fix_tra': '8Kullick2023', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
45;DE;2035;tra_air_ice_pass_europ_kerosene_0;1;;;;0.389863548;;0.3;;1,000.00;;6,845.93;25;;0.002;180;global_scalars.wacc;global_emmission_factors.kerosene;0.0025;0.0025;;srd_range_draft;{};{'capacity_tra_inst_0': '8Lufthansa2023', 'cost_fix_tra': '8Kullick2023', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
46;DE;2040;tra_air_ice_pass_europ_kerosene_0;1;;;;0.389863548;;0.25;;1,000.00;;6,845.93;25;;0.002;180;global_scalars.wacc;global_emmission_factors.kerosene;0.0025;0.0025;;srd_range_draft;{};{'capacity_tra_inst_0': '8Lufthansa2023', 'cost_fix_tra': '8Kullick2023', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
47;DE;2045;tra_air_ice_pass_europ_kerosene_0;1;;;;0.389863548;;0.2;;1,000.00;;6,845.93;25;;0.002;180;global_scalars.wacc;global_emmission_factors.kerosene;0.0025;0.0025;;srd_range_draft;{};{'capacity_tra_inst_0': '8Lufthansa2023', 'cost_fix_tra': '8Kullick2023', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
48;DE;2050;tra_air_ice_pass_europ_kerosene_0;1;;;;0.389863548;;0.15;;1,000.00;;6,845.93;25;;0.002;180;global_scalars.wacc;global_emmission_factors.kerosene;0.0025;0.0025;;srd_range_draft;{};{'capacity_tra_inst_0': '8Lufthansa2023', 'cost_fix_tra': '8Kullick2023', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
49;DE;2060;tra_air_ice_pass_europ_kerosene_0;1;;;;0.389863548;;0.1;;1,000.00;;6,845.93;25;;0.002;180;global_scalars.wacc;global_emmission_factors.kerosene;0.0025;0.0025;;srd_range_draft;{};{'capacity_tra_inst_0': '8Lufthansa2023', 'cost_fix_tra': '8Kullick2023', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
50;DE;2070;tra_air_ice_pass_europ_kerosene_0;1;;;;0.389863548;;0;;1,000.00;;6,845.93;25;;0.002;180;global_scalars.wacc;global_emmission_factors.kerosene;0.0025;0.0025;;srd_range_draft;{};{'capacity_tra_inst_0': '8Lufthansa2023', 'cost_fix_tra': '8Kullick2023', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
51;DE;2021;tra_air_fcev_pass_europ_hydrogen_0;;1;;;1.060853191;;0;;1,320.00;;9,036.63;25;;0.002;180;global_scalars.wacc;;;;;srd_range_draft;{};{ 'cost_fix_tra': '8Kullick2023', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
52;DE;2024;tra_air_fcev_pass_europ_hydrogen_0;;1;;;1.060853191;;0;;1,320.00;;9,036.63;25;;0.002;180;global_scalars.wacc;;;;;srd_range_draft;{};{ 'cost_fix_tra': '8Kullick2023', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
53;DE;2027;tra_air_fcev_pass_europ_hydrogen_0;;1;;;1.060853191;;0;;1,320.00;;9,036.63;25;;0.002;180;global_scalars.wacc;;;;;srd_range_draft;{};{ 'cost_fix_tra': '8Kullick2023', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
54;DE;2030;tra_air_fcev_pass_europ_hydrogen_0;;1;;;1.060853191;;0;;1,320.00;;9,036.63;25;;0.002;180;global_scalars.wacc;;;;;srd_range_draft;{};{ 'cost_fix_tra': '8Kullick2023', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
55;DE;2035;tra_air_fcev_pass_europ_hydrogen_0;;1;;;1.060853191;;0;;1,320.00;;9,036.63;25;;0.002;180;global_scalars.wacc;;;;;srd_range_draft;{};{ 'cost_fix_tra': '8Kullick2023', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
56;DE;2040;tra_air_fcev_pass_europ_hydrogen_0;;1;;;1.060853191;;0;;1,320.00;;9,036.63;25;;0.002;180;global_scalars.wacc;;;;;srd_range_draft;{};{ 'cost_fix_tra': '8Kullick2023', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
57;DE;2045;tra_air_fcev_pass_europ_hydrogen_0;;1;;;1.060853191;;0;;1,320.00;;9,036.63;25;;0.002;180;global_scalars.wacc;;;;;srd_range_draft;{};{ 'cost_fix_tra': '8Kullick2023', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
58;DE;2050;tra_air_fcev_pass_europ_hydrogen_0;;1;;;1.060853191;;0;;1,320.00;;9,036.63;25;;0.002;180;global_scalars.wacc;;;;;srd_range_draft;{};{ 'cost_fix_tra': '8Kullick2023', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
59;DE;2060;tra_air_fcev_pass_europ_hydrogen_0;;1;;;1.060853191;;0;;1,320.00;;9,036.63;25;;0.002;180;global_scalars.wacc;;;;;srd_range_draft;{};{ 'cost_fix_tra': '8Kullick2023', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
60;DE;2070;tra_air_fcev_pass_europ_hydrogen_0;;1;;;1.060853191;;0;;1,320.00;;9,036.63;25;;0.002;180;global_scalars.wacc;;;;;srd_range_draft;{};{ 'cost_fix_tra': '8Kullick2023', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
61;DE;2021;tra_air_ice_pass_europ_hydrogen_0;;1;;;1.060853191;;0;;1,270.00;;8,694.33;25;;0.002;180;global_scalars.wacc;;;;;srd_range_draft;{};{ 'cost_fix_tra': '8DLR2020', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
62;DE;2024;tra_air_ice_pass_europ_hydrogen_0;;1;;;1.060853191;;0;;1,270.00;;8,694.33;25;;0.002;180;global_scalars.wacc;;;;;srd_range_draft;{};{ 'cost_fix_tra': '8DLR2020', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
63;DE;2027;tra_air_ice_pass_europ_hydrogen_0;;1;;;1.060853191;;0;;1,270.00;;8,694.33;25;;0.002;180;global_scalars.wacc;;;;;srd_range_draft;{};{ 'cost_fix_tra': '8DLR2020', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
64;DE;2030;tra_air_ice_pass_europ_hydrogen_0;;1;;;1.060853191;;0;;1,270.00;;8,694.33;25;;0.002;180;global_scalars.wacc;;;;;srd_range_draft;{};{ 'cost_fix_tra': '8DLR2020', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
65;DE;2035;tra_air_ice_pass_europ_hydrogen_0;;1;;;1.060853191;;0;;1,270.00;;8,694.33;25;;0.002;180;global_scalars.wacc;;;;;srd_range_draft;{};{ 'cost_fix_tra': '8DLR2020', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
66;DE;2040;tra_air_ice_pass_europ_hydrogen_0;;1;;;1.060853191;;0;;1,270.00;;8,694.33;25;;0.002;180;global_scalars.wacc;;;;;srd_range_draft;{};{ 'cost_fix_tra': '8DLR2020', 'cost_var_tra': '8Kullick2023', 'lifetime': '8Kullick2023', 'mileage': '8Kullick2023', 'occupancy_rate': '8Kullick2023'};{}
